,PSI_Value
month,0.044853128465661675
RunTime_x,5.17069651485408
BaseWeigh_y,0.6819367563225801
Timesteps,0.0
BaseWeigh_x,2.1860785807642227
PM1,0.0028372028142229794
RunTime_y,8.3668158420345
PaperNum,0.030558101166662844
qty,0.21525208123393666
LineNum_y,0.007869578604814999
RunSpeed,0.0021776781115800618
FIL301,0.0019139852103535933
minute,0.0
ReDoWeight,5.441329488814316e-05
ReelLenght,0.0021700599977948504
day,0.010678850076343898
ReelWidth,0.0013940295493788148
ReDoLenght,3.919339609102012e-05
year,0.017639793063516512
hour,0.0
ReelWeight,0.0031487576866498705
PaperCategory_y,2.201954724745341
