dt,precipitation
1713805860,0
1713805920,0
1713805980,0
1713806040,0
1713806100,0
1713806160,0
1713806220,0
1713806280,0
1713806340,0
1713806400,0
1713806460,0
1713806520,0
1713806580,0
1713806640,0
1713806700,0
1713806760,0
1713806820,0
1713806880,0
1713806940,0
1713807000,0
1713807060,0
1713807120,0
1713807180,0
1713807240,0
1713807300,0
1713807360,0
1713807420,0
1713807480,0
1713807540,0
1713807600,0
1713807660,0
1713807720,0
1713807780,0
1713807840,0
1713807900,0
1713807960,0
1713808020,0
1713808080,0
1713808140,0
1713808200,0
1713808260,0
1713808320,0
1713808380,0
1713808440,0
1713808500,0
1713808560,0
1713808620,0
1713808680,0
1713808740,0
1713808800,0
1713808860,0
1713808920,0
1713808980,0
1713809040,0
1713809100,0
1713809160,0
1713809220,0
1713809280,0
1713809340,0
1713809400,0
